Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1169,0,4,3.865865762199009,0.9096989997487981,14.372354999977688,121.07784431137725,3.9005724214950437,0.0,4,4,5,5,6,7,9,10,14,14,14
POST,/petclinic/api/owners/1/pets,2281,0,15,17.30347105129504,2.684453000256326,50.499465000029886,118.042525208242,7.610954399854743,0.0,15,20,24,26,32,36,39,41,48,50,50
POST,/petclinic/api/owners/1/pets/1/visits,1126,0,13,14.24277181970156,2.4467539997203858,51.74594999971305,70.02753108348135,3.7570954205332927,0.0,13,16,19,21,25,29,32,33,51,52,52
PUT,/petclinic/api/owners/2,1169,0,2,2.788981237797413,0.8640269998068106,14.356930999383621,135.0,3.9005724214950437,0.0,2,3,4,4,5,6,7,8,13,14,14
PUT,/petclinic/api/pets/2,1112,0,2,2.583970513490176,0.7566049998786184,11.790653999923961,121.0,3.7103819783596994,0.0,2,3,3,4,4,6,7,8,11,12,12
POST,/petclinic/api/pettypes,1122,0,4,3.7388587611360737,1.054536000083317,15.943753999636101,35.029411764705884,3.743748722769409,0.0,4,4,5,5,6,7,8,10,12,16,16
PUT,/petclinic/api/pettypes/2,1122,0,3,3.18532032976939,0.7839350000722334,12.531104999652598,32.0,3.743748722769409,0.0,3,4,4,4,5,6,8,9,10,13,13
POST,/petclinic/api/specialties,1146,0,4,3.7801278909336857,0.9202100000038627,122.09411799994996,43.04188481675393,3.8238289093527116,0.0,4,4,4,5,6,6,8,9,13,120,120
PUT,/petclinic/api/specialties/2,1146,0,3,3.1936476745159665,0.767647999964538,14.979823999965447,30.0,3.8238289093527116,0.0,3,4,4,4,5,6,7,8,13,15,15
POST,/petclinic/api/vets,1202,0,4,3.8087278510840084,0.9275040001739399,26.338370999837935,106.09400998336106,4.010682678047085,0.0,4,4,5,5,6,7,9,10,13,26,26
PUT,/petclinic/api/vets/2,1202,0,4,3.54212272878263,0.8942880003814935,23.464515000341635,112.0,4.010682678047085,0.0,4,4,4,5,6,7,8,9,17,23,23
PUT,/petclinic/api/visits/2,1126,0,2,2.7487735035560177,0.7985080001162714,20.00082199992903,73.0,3.7570954205332927,0.0,2,3,4,4,5,5,7,8,11,20,20
,Aggregated,14923,0,4,6.289029484084291,0.7566049998786184,122.09411799994996,86.12698519064531,49.79319268260952,0.0,4,5,6,8,16,23,31,35,44,52,120
