Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,2056,0,2,2.9773974839692654,0.8094530003290856,38.36524200050917,121.47568093385215,6.86259485244616,0.0,2,3,4,4,5,6,8,9,12,38,38
POST,/petclinic/api/owners/1/pets,4082,0,19,21.386570005128196,2.90793300155201,67.4790920002124,118.2405683488486,13.62505456599476,0.0,19,23,28,31,40,46,51,54,62,67,67
POST,/petclinic/api/owners/1/pets/1/visits,2173,0,16,18.27927918361272,2.6353249995736405,127.1860229990125,70.49608835710998,7.2531218941466475,0.0,16,19,23,26,34,40,46,50,57,130,130
PUT,/petclinic/api/owners/2,2054,0,2,2.1240075403903895,0.8645489997434197,17.812922000302933,135.0,6.855919176519656,0.0,2,2,2,3,4,5,7,8,13,18,18
PUT,/petclinic/api/pets/2,2028,0,2,1.959781035979754,0.7747029994789045,14.341817000968149,121.0,6.769135389475104,0.0,2,2,2,3,4,5,6,7,11,14,14
POST,/petclinic/api/pettypes,2060,0,2,2.8921194791445424,0.8789130006334744,12.67459799964854,35.47135922330097,6.875946204299169,0.0,2,3,4,4,5,6,8,9,12,13,13
PUT,/petclinic/api/pettypes/2,2060,0,2,2.4926393800713202,0.7569860008516116,20.511365999482223,32.0,6.875946204299169,0.0,2,3,3,4,5,6,7,8,13,21,21
POST,/petclinic/api/specialties,2116,0,2,2.960194988678192,0.8612689998699352,14.510072000121,43.48109640831758,7.062865130241282,0.0,2,3,4,4,5,6,8,9,13,15,15
PUT,/petclinic/api/specialties/2,2116,0,2,2.555202939043955,0.7635439997102367,13.4098639991862,30.0,7.062865130241282,0.0,2,3,3,4,5,6,7,8,11,13,13
POST,/petclinic/api/vets,2015,0,2,3.002459896275337,0.8247850000770995,24.500483999872813,106.45955334987593,6.725743495952828,0.0,2,3,4,4,5,6,8,9,12,25,25
PUT,/petclinic/api/vets/2,2015,0,2,2.795102646648835,0.8410769987676758,33.86931800014281,112.0,6.725743495952828,0.0,2,3,4,4,5,6,8,9,11,34,34
PUT,/petclinic/api/visits/2,2173,0,2,2.0859418200951994,0.7728660002612742,15.768000999742071,73.0,7.2531218941466475,0.0,2,2,3,3,4,5,6,8,11,16,16
,Aggregated,26948,0,3,6.696510110100858,0.7569860008516116,127.1860229990125,85.40819355796349,89.94805743371553,0.0,3,4,6,10,19,28,39,46,57,66,130
