Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,2086,0,2,3.173840706616383,1.3410299998213304,21.6396910000185,119.0,6.96423660468844,0.0,2,3,4,4,5,7,9,11,16,22,22
POST,/petclinic/api/owners/1/pets,4189,0,3,3.2747809197912012,1.2918410002384917,23.059178000039537,118.49797087610408,13.9852287330009,0.0,3,3,4,5,6,7,9,11,17,23,23
POST,/petclinic/api/owners/1/pets/1/visits,2095,0,3,3.463325963236711,1.2678719999712484,231.02351599982285,70.47732696897374,6.994283646607038,0.0,3,3,4,5,6,7,9,11,24,230,230
PUT,/petclinic/api/owners/2,2086,0,3,4.17533784420066,1.906295000026148,27.73677300001509,0.0,6.96423660468844,0.0,3,4,5,6,7,9,11,13,26,28,28
PUT,/petclinic/api/pets/2,2103,0,3,3.537151757967149,1.4353360002132831,41.52101699992272,0.0,7.020992128312459,0.0,3,4,4,5,6,8,10,12,19,42,42
POST,/petclinic/api/pettypes,2085,0,2,3.1306541309277236,1.3104390000080457,22.918636000213155,34.477697841726616,6.960898044475263,0.0,2,3,4,4,6,7,9,11,17,23,23
PUT,/petclinic/api/pettypes/2,2085,0,2,2.8985894805796515,1.1586609998630593,19.478514999718755,0.0,6.960898044475263,0.0,2,3,3,4,5,7,9,11,16,19,19
POST,/petclinic/api/specialties,2075,0,2,3.141382481451246,1.2724870002784883,26.874728000166215,42.47084337349398,6.927512442343487,0.0,2,3,4,4,5,7,9,11,17,27,27
PUT,/petclinic/api/specialties/2,2075,0,2,3.1324251831333587,1.2806149998141336,25.430157000300824,0.0,6.927512442343487,0.0,2,3,4,4,6,7,9,12,17,25,25
POST,/petclinic/api/vets,2093,0,3,4.120934664120771,1.7627719998927205,97.424790000332,106.47969421882465,6.9876065261806835,0.0,3,4,5,5,7,9,11,14,25,97,97
PUT,/petclinic/api/vets/2,2093,0,3,3.8758154013366433,1.7137589998128533,30.324197000027198,0.0,6.9876065261806835,0.0,3,4,5,5,7,9,11,13,24,30,30
PUT,/petclinic/api/visits/2,2095,0,3,3.6976216968933606,1.4463460001934436,65.5082959997344,0.0,6.994283646607038,0.0,3,4,4,5,7,8,11,12,27,66,66
,Aggregated,27160,0,3,3.4541819199556794,1.1586609998630593,231.02351599982285,46.94944771723122,90.67529538990318,0.0,3,3,4,5,6,8,10,12,22,66,230
