Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1400,91,2,420.98808957784746,0.972272999206325,5003.740641999684,113.3,4.6744341274680945,0.3038382182854262,2,2,3,3,19,5000,5000,5000,5000,5000,5000
POST,/petclinic/api/owners/1/pets,2826,245,18,751.8883485491843,3.6882780004816595,38557.872078999935,107.83828733191791,9.43567917444631,0.8180259723069165,18,26,33,38,76,5000,10000,15000,33000,39000,39000
POST,/petclinic/api/owners/1/pets/1/visits,1344,87,24,430.61807761012017,3.6047199992026435,5004.9370859997,65.58928571428571,4.487456762369371,0.2904826922069459,24,34,43,50,130,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/owners/2,1382,53,2,384.3602287756746,1.0117809997609584,5017.037961999449,129.82272069464545,4.6143342601149335,0.1769607205398636,2,2,2,3,6,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/pets/2,1434,80,2,506.5797813905448,0.803146000180277,13929.72680999992,114.24965132496513,4.787956099135177,0.2671105215696054,2,2,2,2,6,5000,7900,10000,10000,14000,14000
POST,/petclinic/api/pettypes,1424,95,2,440.87520519872356,0.9131269998761127,5004.175505000603,32.833567415730336,4.754567283938976,0.3171937443639064,2,2,3,3,23,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/pettypes/2,1410,73,2,403.19204029294247,0.7626440001331503,5023.090307999155,30.343262411347517,4.707822942664295,0.24373835093226492,2,2,2,2,5,5000,5000,5000,5000,5000,5000
POST,/petclinic/api/specialties,1401,74,2,358.022487929332,0.9429759993508924,5005.327720999048,40.89221984296931,4.677773008987715,0.247077232451885,2,2,2,3,11,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/specialties/2,1389,51,1,325.87021951692964,0.8164430000761058,5032.871944998988,27.935205183585314,4.6377064307522735,0.17028295750062344,1,2,2,2,3,5000,5000,5000,5000,5000,5000
POST,/petclinic/api/vets,1393,83,2,385.88429426274826,1.006301999950665,5015.970090000337,99.84278535534817,4.6510619568307545,0.2771271661284656,2,2,2,3,11,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/vets/2,1388,52,2,344.47893083572546,0.9594719995220657,5026.794104000146,107.80403458213256,4.634367549232654,0.1736218390202435,2,2,2,3,5,4900,5000,5000,5000,5000,5000
PUT,/petclinic/api/visits/2,1336,56,2,361.527034958812,0.8480989999952726,5025.366646999828,69.94011976047904,4.46074571021241,0.18697736509872379,2,2,2,2,5,4900,5000,5000,5000,5000,5000
,Aggregated,18127,1040,2,452.35260901009696,0.7626440001331503,38557.872078999935,80.68384178297568,60.52390530615297,3.47243678040487,2,3,10,16,51,5000,5000,5000,18000,35000,39000
