Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,2140,0,2,2.9792340906579677,1.3188450000143348,31.175152000059825,120.0,7.140535887845016,0.0,2,3,3,4,5,7,9,10,16,31,31
POST,/petclinic/api/owners/1/pets,4216,0,2,3.0493491928345033,1.2911379999422934,22.981369999797607,118.50759013282732,14.067523038857283,0.0,2,3,3,4,5,7,9,11,17,23,23
POST,/petclinic/api/owners/1/pets/1/visits,2040,0,2,3.169389760295769,1.3017569999647094,19.307208000100218,70.46323529411765,6.806865986543847,0.0,2,3,4,4,6,7,10,11,16,19,19
PUT,/petclinic/api/owners/2,2140,0,3,3.9513942285064876,1.890209000066534,67.0383890001176,0.0,7.140535887845016,0.0,3,4,4,5,7,9,11,14,21,67,67
PUT,/petclinic/api/pets/2,2076,0,3,3.281291688342763,1.4591829999517358,25.1688959999683,0.0,6.926987151012268,0.0,3,3,4,4,6,8,10,12,19,25,25
POST,/petclinic/api/pettypes,2073,0,2,3.0711306903040794,1.2801269999727083,227.98571299995274,35.474674384949346,6.916977053973233,0.0,2,3,3,4,5,7,9,11,18,230,230
PUT,/petclinic/api/pettypes/2,2073,0,2,2.762493877471956,1.1334950002037658,44.162797999888426,0.0,6.916977053973233,0.0,2,3,3,4,5,6,8,10,15,44,44
POST,/petclinic/api/specialties,2081,0,2,2.944376798175222,1.2601440000707953,33.99360899993553,43.47236905333974,6.943670646077327,0.0,2,3,3,4,5,6,8,11,17,34,34
PUT,/petclinic/api/specialties/2,2081,0,2,2.8791349788567207,1.2617770000815653,18.015557999888188,0.0,6.943670646077327,0.0,2,3,3,4,5,6,8,10,18,18,18
POST,/petclinic/api/vets,2076,0,3,3.8026094104035058,1.7714250000153697,90.33694200002174,106.47543352601156,6.926987151012268,0.0,3,4,4,5,6,8,11,13,20,90,90
PUT,/petclinic/api/vets/2,2076,0,3,3.5687152365129267,1.736341999958313,20.791582000128983,0.0,6.926987151012268,0.0,3,3,4,5,6,8,10,12,17,21,21
PUT,/petclinic/api/visits/2,2040,0,3,3.4493461651970403,1.4398719999917375,29.639944000109608,0.0,6.806865986543847,0.0,3,3,4,4,6,9,11,14,26,30,30
,Aggregated,27112,0,3,3.2279612473078156,1.1334950002037658,227.98571299995274,47.40413838890528,90.46458364077293,0.0,3,3,4,4,6,7,10,12,19,67,230
