Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1164,1010,4,3.972666206173454,0.9840920010901755,17.25716900000407,16.140893470790378,3.8837648645918517,3.369933430616641,4,5,5,5,6,7,9,10,13,17,17
POST,/petclinic/api/owners/1/pets,2315,1013,9,13.366260514911582,1.27963300110423,52.949462999094976,66.64751619870411,7.724154348393588,3.3799431338758983,9,15,22,24,31,35,38,40,51,53,53
POST,/petclinic/api/owners/1/pets/1/visits,1078,4,11,13.275958380356638,2.740986999924644,46.280312999442685,69.72077922077922,3.596820037826474,0.013346271012343132,11,15,18,20,25,28,31,34,41,46,46
PUT,/petclinic/api/owners/2,1164,0,2,2.989278373717621,0.8433870007138466,17.4857530000736,135.0,3.8837648645918517,0.0,2,3,4,4,5,6,8,9,12,17,17
PUT,/petclinic/api/pets/2,1151,0,2,2.8716593927253053,0.842670000565704,15.268061999449856,121.0,3.8403894838017365,0.0,2,3,4,4,5,6,7,9,13,15,15
POST,/petclinic/api/pettypes,1160,6,4,3.6064703180884328,1.0462660011398839,16.305422999721486,34.875,3.8704185935795086,0.0200194065185147,4,4,5,5,6,7,8,9,13,16,16
PUT,/petclinic/api/pettypes/2,1160,0,3,3.108836081018408,0.8307940006488934,10.83504400048696,32.0,3.8704185935795086,0.0,3,4,4,4,5,6,7,8,10,11,11
POST,/petclinic/api/specialties,1196,3,4,3.6428301153419884,0.9895180010062177,120.56879199917603,42.97157190635451,3.9905350326905964,0.01000970325925735,4,4,5,5,6,7,8,9,14,120,120
PUT,/petclinic/api/specialties/2,1196,0,3,3.075320592795888,0.81961800060526,32.31575499921746,30.0,3.9905350326905964,0.0,3,4,4,4,5,6,7,9,18,32,32
POST,/petclinic/api/vets,1132,6,4,3.7930982005301774,1.0216309983661631,15.02592600081698,105.47084805653711,3.7769946964931065,0.0200194065185147,4,4,5,5,6,7,9,9,12,15,15
PUT,/petclinic/api/vets/2,1132,0,4,3.5539290291354413,0.9785479996935464,17.52546399984567,112.0,3.7769946964931065,0.0,4,4,5,5,6,7,9,10,14,18,18
PUT,/petclinic/api/visits/2,1078,0,2,2.719235853379724,0.7456809998984681,12.47656499981531,73.0,3.596820037826474,0.0,2,3,4,4,5,6,7,8,12,12,12
,Aggregated,14926,2042,4,5.610089402511488,0.7456809998984681,120.56879199917603,69.29967841350663,49.8016102825584,6.813271351801169,4,5,6,6,12,22,30,34,44,53,120
