Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,274,0,2,2.005262715340699,1.2774989991157781,23.003485999652185,119.67518248175182,0.9159972660887375,0.0,2,2,2,2,3,4,5,8,23,23,23
POST,/petclinic/api/owners/1/pets,541,0,5,5.664020913156051,1.3521679993573343,34.523787999205524,117.34750462107209,1.808593142167909,0.0,5,6,7,7,9,14,18,21,35,35,35
POST,/petclinic/api/owners/1/pets/1/visits,214,0,8,9.954459210305933,1.885196999865002,46.58715400000801,69.53271028037383,0.715413923149598,0.0,8,11,12,13,18,29,36,41,47,47,47
PUT,/petclinic/api/owners/2,274,0,1.0183809990849113,1.538330810287673,1.0183809990849113,6.683415000225068,134.0,0.9159972660887375,0.0,1,1,2,2,2,3,4,5,7,7,7
PUT,/petclinic/api/pets/2,267,0,1,1.5443394082596862,0.9493199995631585,7.583691000036197,121.0,0.8925958760791713,0.0,1,1,1,2,2,4,4,4,8,8,8
POST,/petclinic/api/pettypes,248,0,2,1.9839455362231209,1.1578220000956208,7.491618000130984,33.61290322580645,0.8290778174817771,0.0,2,2,2,2,4,4,5,5,7,7,7
PUT,/petclinic/api/pettypes/2,248,0,1,1.5883987136930955,0.876259000506252,14.920476000042981,32.0,0.8290778174817771,0.0,1,1,2,2,3,4,4,5,15,15,15
POST,/petclinic/api/specialties,235,0,2,1.9821901957719943,0.98194199927093,5.556933001571451,41.56595744680851,0.7856180931782968,0.0,2,2,2,2,4,4,5,5,6,6,6
PUT,/petclinic/api/specialties/2,235,0,1,1.5328752766939207,0.8963809996203054,4.414686998643447,29.0,0.7856180931782968,0.0,1,1,2,2,3,4,4,4,4,4,4
POST,/petclinic/api/vets,229,0,2,1.9822314934889933,1.2152680010331096,4.704684999524034,105.58078602620087,0.7655597588843829,0.0,2,2,2,2,3,4,4,5,5,5,5
PUT,/petclinic/api/vets/2,229,0,1.091718999305158,1.7801718515257923,1.091718999305158,6.618880999667454,112.0,0.7655597588843829,0.0,1,2,2,2,3,4,5,5,7,7,7
PUT,/petclinic/api/visits/2,214,0,1,1.4991858832081986,0.9711109996715095,5.218697000600514,73.0,0.715413923149598,0.0,1,1,1,2,2,3,4,4,5,5,5
,Aggregated,3208,0,2,2.952671676457,0.876259000506252,46.58715400000801,86.80860349127182,10.724522735812664,0.0,2,2,3,4,6,9,14,18,40,47,47
