Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,5,0,11,17.322367199813016,9.475826998823322,37.772286999825155,120.0,0.5583310938699796,0.0,11,18,18,38,38,38,38,38,38,38,38
POST,/petclinic/api/owners/1/pets,8,0,14,17.583349875621934,8.570535999751883,46.784438000031514,118.625,0.8933297501919674,0.0,15,16,18,18,47,47,47,47,47,47,47
POST,/petclinic/api/owners/1/pets/1/visits,6,0,15,52.78043933261264,6.069055998523254,240.5131919986161,68.16666666666667,0.6699973126439754,0.0,19,19,21,21,240,240,240,240,240,240,240
PUT,/petclinic/api/owners/2,5,0,22,21.656034399347845,13.394713001616765,27.12249499745667,0.0,0.5583310938699796,0.0,22,25,25,27,27,27,27,27,27,27,27
PUT,/petclinic/api/pets/2,3,0,24,20.07035766534197,9.762461999343941,26.015022998763015,0.0,0.3349986563219877,0.0,24,24,26,26,26,26,26,26,26,26,26
POST,/petclinic/api/pettypes,5,0,17,16.081467999902088,10.037829997600056,20.34469800128136,33.4,0.5583310938699796,0.0,17,18,18,20,20,20,20,20,20,20,20
PUT,/petclinic/api/pettypes/2,5,0,13,13.045487400086131,8.620049000455765,18.74855300047784,0.0,0.5583310938699796,0.0,13,15,15,19,19,19,19,19,19,19,19
POST,/petclinic/api/specialties,5,0,14,13.691766999545507,4.716674000519561,28.89073799815378,41.0,0.5583310938699796,0.0,14,15,15,29,29,29,29,29,29,29,29
PUT,/petclinic/api/specialties/2,5,0,17,13.817588600795716,7.1381900015694555,19.213632000173675,0.0,0.5583310938699796,0.0,17,18,18,19,19,19,19,19,19,19,19
POST,/petclinic/api/vets,3,0,25,48.990748333987234,23.442436002369504,98.39452199958032,104.0,0.3349986563219877,0.0,25,25,98,98,98,98,98,98,98,98,98
PUT,/petclinic/api/vets/2,3,0,20,22.06209799987846,17.693107001832686,28.727232998789987,0.0,0.3349986563219877,0.0,20,20,29,29,29,29,29,29,29,29,29
PUT,/petclinic/api/visits/2,6,0,21,29.720659333179356,12.615424002433429,69.52945499870111,0.0,0.6699973126439754,0.0,27,27,31,31,70,70,70,70,70,70,70
,Aggregated,59,0,17,23.51045027109834,4.716674000519561,240.5131919986161,44.779661016949156,6.588306907665759,0.0,17,20,23,25,31,70,98,240,240,240,240
