Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,2145,0,3,4.269805602814597,1.2527860017144121,42.324025998823345,120.0,7.157879752679359,0.0,3,5,5,6,8,10,12,13,18,42,42
POST,/petclinic/api/owners/1/pets,4217,0,3,4.342105671312984,1.2694020006165374,85.97162300065975,118.50865544225753,14.07215800328618,0.0,3,5,6,6,8,10,12,13,20,86,86
POST,/petclinic/api/owners/1/pets/1/visits,2146,0,3,4.488264192437385,1.3307959998201113,42.81112199896597,70.48974836905872,7.161216759557065,0.0,3,5,6,6,8,10,13,14,27,43,43
PUT,/petclinic/api/owners/2,2145,0,4,5.420530303038108,1.880939002148807,32.64009700069437,0.0,7.157879752679359,0.0,4,6,7,7,10,12,16,17,27,33,33
PUT,/petclinic/api/pets/2,2072,0,4,4.707183061791195,1.4083710011618678,31.887866996839875,0.0,6.914278250606821,0.0,4,5,6,7,9,11,14,17,23,32,32
POST,/petclinic/api/pettypes,2033,0,3,4.2273528991599125,1.2590270016517024,21.27065400054562,35.46433841613379,6.784134982376288,0.0,3,5,5,6,7,9,12,13,18,21,21
PUT,/petclinic/api/pettypes/2,2033,0,3,3.998495063013339,1.1730469996109605,20.348433001345256,0.0,6.784134982376288,0.0,3,4,5,6,7,9,12,13,18,20,20
POST,/petclinic/api/specialties,2038,0,3,4.173549785560508,1.2931230012327433,19.708382998942398,43.4612365063788,6.800820016764818,0.0,3,5,5,6,8,9,11,14,17,20,20
PUT,/petclinic/api/specialties/2,2038,0,3,4.157954125103159,1.2633090009330772,24.242901999969035,0.0,6.800820016764818,0.0,3,5,5,6,8,10,12,14,20,24,24
POST,/petclinic/api/vets,2050,0,4,5.493380883332376,1.7636019983910955,300.7541480001237,106.46878048780488,6.840864099297289,0.0,4,6,7,7,10,12,15,18,25,300,300
PUT,/petclinic/api/vets/2,2050,0,4,5.133962760448368,1.7235429986612871,32.35076800046954,0.0,6.840864099297289,0.0,4,6,6,7,9,12,14,17,23,32,32
PUT,/petclinic/api/visits/2,2146,0,4,4.750330668696777,1.5021109975350555,32.534359001147095,0.0,7.161216759557065,0.0,4,5,6,7,9,11,13,16,28,33,33
,Aggregated,27113,0,4,4.579520759664643,1.1730469996109605,300.7541480001237,47.481134511120125,90.47626747524264,0.0,4,5,6,6,8,10,13,15,24,43,300
