Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,251,0,7,6.708240617550778,2.2008510004525306,26.89379299954453,120.0,0.8378836514064569,0.0,7,7,8,8,9,13,15,17,27,27,27
POST,/petclinic/api/owners/1/pets,493,0,7,6.524952462434017,2.0736179994855775,23.0190769998444,118.50912778904666,1.6457236659098935,0.0,7,7,8,8,10,12,16,17,23,23,23
POST,/petclinic/api/owners/1/pets/1/visits,261,0,7,7.657526099618495,2.443949999360484,214.55649900053686,69.61685823754789,0.8712654701875906,0.0,7,8,8,9,10,12,13,14,210,210,210
PUT,/petclinic/api/owners/2,251,0,8,8.871357490095695,3.092592000029981,48.680559999411344,0.0,0.8378836514064569,0.0,8,10,11,12,14,17,22,25,49,49,49
PUT,/petclinic/api/pets/2,242,0,7,7.581373917395663,2.38779000028444,67.15731899930688,0.0,0.8078400145034366,0.0,7,8,9,9,11,15,24,25,67,67,67
POST,/petclinic/api/pettypes,246,0,7,6.30136117481045,2.130298000338371,21.2699439998687,34.609756097560975,0.82119274201589,0.0,7,7,8,8,9,10,12,13,21,21,21
PUT,/petclinic/api/pettypes/2,246,0,6,5.674198804774825,1.9951329995819833,24.194196001189994,0.0,0.82119274201589,0.0,6,7,7,8,9,10,13,14,24,24,24
POST,/petclinic/api/specialties,246,0,7,6.2488264023831865,2.1464069996000035,18.051187000310165,42.58536585365854,0.82119274201589,0.0,7,7,7,8,9,10,13,14,18,18,18
PUT,/petclinic/api/specialties/2,246,0,7,6.250577715435633,2.1420909997686977,19.89680800033966,0.0,0.82119274201589,0.0,7,8,8,8,9,11,14,18,20,20,20
POST,/petclinic/api/vets,234,0,9,8.47649717952741,3.1190830013656523,37.458069000422256,105.58974358974359,0.7811345594785295,0.0,9,9,10,11,12,14,15,18,37,37,37
PUT,/petclinic/api/vets/2,234,0,5,6.3756745939671475,2.776716000880697,22.96727900102269,0.0,0.7811345594785295,0.0,5,7,9,10,11,14,16,18,23,23,23
PUT,/petclinic/api/visits/2,261,0,7,7.713413337114616,2.513220999389887,68.13731100010045,0.0,0.8712654701875906,0.0,7,8,9,10,12,16,19,26,68,68,68
,Aggregated,3211,0,7,6.9978317449254,1.9951329995819833,214.55649900053686,46.84303955154157,10.718902010622044,0.0,7,8,8,9,11,13,16,20,49,210,210
