Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,254,0,7,6.253531618104639,2.2522210000488485,18.391804000032153,120.0,0.8478956063797954,0.0,7,7,8,8,9,10,12,16,18,18,18
POST,/petclinic/api/owners/1/pets,494,0,7,6.7427505263148175,2.121919000046546,237.98635400004287,118.51417004048584,1.6490568092583424,0.0,7,7,8,8,9,11,13,17,240,240,240
POST,/petclinic/api/owners/1/pets/1/visits,224,0,7,6.6773825758882515,2.4509730000090713,17.84061699999029,69.55357142857143,0.747750456019977,0.0,7,8,8,9,9,11,15,17,18,18,18
PUT,/petclinic/api/owners/2,254,0,8,8.514904692915712,3.0295830000568458,23.91184600003271,0.0,0.8478956063797954,0.0,8,10,11,11,14,17,19,22,24,24,24
PUT,/petclinic/api/pets/2,240,0,8,7.482561445829579,2.4176050000050964,83.35426999997253,0.0,0.8011612028785469,0.0,8,8,9,9,11,13,19,22,83,83,83
POST,/petclinic/api/pettypes,244,0,7,6.1878112295072025,2.225014000032388,17.035131999989517,34.60655737704918,0.8145138895931893,0.0,7,7,7,8,9,11,15,15,17,17,17
PUT,/petclinic/api/pettypes/2,244,0,5,5.548314094263056,1.9628500000408167,16.571848000012324,0.0,0.8145138895931893,0.0,5,7,7,7,8,10,15,16,17,17,17
POST,/petclinic/api/specialties,252,0,7,5.900036190478123,2.2013269999661134,17.90915099996937,42.595238095238095,0.8412192630224742,0.0,7,7,7,8,9,9,10,11,18,18,18
PUT,/petclinic/api/specialties/2,252,0,6,5.8272014444430935,2.121788999943419,17.32966600002328,0.0,0.8412192630224742,0.0,6,7,8,8,9,10,10,12,17,17,17
POST,/petclinic/api/vets,243,0,8,8.738621711931618,2.8130140000257597,60.339411000029486,105.60493827160494,0.8111757179145287,0.0,8,9,10,11,14,15,17,19,60,60,60
PUT,/petclinic/api/vets/2,243,0,5,6.515247604937596,2.7626199999986056,22.420095999962086,0.0,0.8111757179145287,0.0,5,7,9,10,12,14,18,21,22,22,22
PUT,/petclinic/api/visits/2,224,0,6,7.117332888393081,2.553205000026537,26.110339000013028,0.0,0.747750456019977,0.0,6,8,9,9,12,16,18,21,26,26,26
,Aggregated,3168,0,7,6.784564804607323,1.9628500000408167,237.98635400004287,47.173611111111114,10.575327877996818,0.0,7,8,8,9,10,13,16,18,26,240,240
