Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1,0,6.130636999841954,6.130636999841954,6.130636999841954,6.130636999841954,119.0,95.08952821419665,0.0,6,6,6,6,6,6,6,6,6,6,6
POST,/petclinic/api/owners/1/pets,1,0,2.0908850001433166,2.0908850001433166,2.0908850001433166,2.0908850001433166,117.0,95.08952821419665,0.0,2,2,2,2,2,2,2,2,2,2,2
PUT,/petclinic/api/owners/2,1,0,1.5712979993622866,1.5712979993622866,1.5712979993622866,1.5712979993622866,134.0,95.08952821419665,0.0,2,2,2,2,2,2,2,2,2,2,2
,Aggregated,3,0,2,3.2642733331158524,1.5712979993622866,6.130636999841954,123.33333333333333,285.26858464258993,0.0,2,2,6,6,6,6,6,6,6,6,6
