Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,629,629,5,4.76911187118367,1.4100910011620726,36.85444800066762,0.0,2.0988150840551856,2.0988150840551856,5,5,6,6,7,8,10,11,37,37,37
POST,/petclinic/api/owners/1/pets,1280,1013,5,7.04396135937202,1.2797840008715866,31.57281200037687,24.71015625,4.271038644818184,3.380126677500641,5,6,7,9,19,22,24,24,27,32,32
POST,/petclinic/api/owners/1/pets/1/visits,557,4,10,9.894958421889903,2.611762998640188,27.311218000249937,69.3177737881508,1.858569160284163,0.013346995765056826,10,11,12,13,16,18,19,22,27,27,27
PUT,/petclinic/api/owners/2,629,0,4,3.928779163735504,1.080233001630404,15.183790999799385,135.0,2.0988150840551856,0.0,4,5,5,6,6,8,9,10,15,15,15
PUT,/petclinic/api/pets/2,651,0,4,3.574562098321465,0.8337769995705457,12.124079999921378,121.0,2.172223560762998,0.0,4,4,5,5,6,7,7,9,12,12,12
POST,/petclinic/api/pettypes,589,6,4,4.316494994899615,1.0053149999293964,122.23268799971265,34.4804753820034,1.9653451264046176,0.020020493647585236,4,5,5,5,6,7,8,9,120,120,120
PUT,/petclinic/api/pettypes/2,589,0,4,3.480340550079688,0.9165539995592553,21.103197999764234,32.0,1.9653451264046176,0.0,4,4,4,5,5,6,7,9,21,21,21
POST,/petclinic/api/specialties,586,3,5,4.324345675753332,1.0606479991110973,14.665504999356926,42.60580204778157,1.955334879580825,0.010010246823792618,5,5,5,5,6,7,9,12,15,15,15
PUT,/petclinic/api/specialties/2,586,0,4,3.6834849317262055,0.9744349990796763,14.177769999150769,30.0,1.955334879580825,0.0,4,4,4,5,6,7,8,9,14,14,14
POST,/petclinic/api/vets,563,6,5,4.410729777991236,1.1540800005604979,15.162701000008383,104.69982238010657,1.8785896539317481,0.020020493647585236,5,5,5,5,6,8,9,10,15,15,15
PUT,/petclinic/api/vets/2,563,0,4,4.195766973326511,1.1871850001625717,15.328890000091633,112.0,1.8785896539317481,0.0,4,5,5,5,6,8,10,11,15,15,15
PUT,/petclinic/api/visits/2,557,0,2,2.913295384191435,0.8843349987728288,30.804145000729477,73.0,1.858569160284163,0.0,2,4,4,4,5,6,7,8,31,31,31
,Aggregated,7779,1661,4,4.895084694680889,0.8337769995705457,122.23268799971265,61.48502378197712,25.95657001409426,5.542339991439847,4,5,6,6,8,11,18,22,26,120,120
