Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1615,0,3,3.333601094126165,0.8383470003536786,30.2652450000096,121.33250773993808,5.389278481895157,0.0,3,4,4,5,5,6,8,9,19,30,30
POST,/petclinic/api/owners/1/pets,3247,0,18,19.978989902675742,2.926019000369706,63.30248400081473,118.16723129042192,10.835286210968157,0.0,18,22,26,30,37,42,46,49,59,63,63
POST,/petclinic/api/owners/1/pets/1/visits,1617,0,14,16.126582461950278,2.4870820006981376,50.774310000633704,70.32282003710576,5.395952510974903,0.0,14,18,21,23,30,35,39,41,50,51,51
PUT,/petclinic/api/owners/2,1615,0,2,2.3756015312772956,0.8526920000804239,11.626468999565986,135.0,5.389278481895157,0.0,2,2,3,3,4,5,7,8,11,12,12
PUT,/petclinic/api/pets/2,1632,0,2,2.2380814926378334,0.8000939997145906,14.879285000461095,121.0,5.446007729073001,0.0,2,2,3,3,4,5,6,8,15,15,15
POST,/petclinic/api/pettypes,1660,0,3,3.27988349579985,0.8422200007771607,22.43215999988024,35.34397590361446,5.539444136189449,0.0,3,4,4,4,5,6,8,9,13,22,22
PUT,/petclinic/api/pettypes/2,1660,0,3,2.8308392680617502,0.7543040001110057,18.507026999941445,32.0,5.539444136189449,0.0,3,3,4,4,5,6,7,8,11,19,19
POST,/petclinic/api/specialties,1611,0,3,3.24642663873413,0.8970019998741918,29.287780000231578,43.31843575418994,5.375930423735664,0.0,3,4,4,4,5,6,7,8,15,29,29
PUT,/petclinic/api/specialties/2,1611,0,3,2.7651522644381825,0.7894939999459893,13.597260000096867,30.0,5.375930423735664,0.0,3,3,4,4,5,6,7,7,12,14,14
POST,/petclinic/api/vets,1671,0,3,3.3906287510388022,0.8566659998905379,129.00644299952546,106.34829443447038,5.576151296128054,0.0,3,4,4,4,5,6,8,9,32,130,130
PUT,/petclinic/api/vets/2,1671,0,3,3.115281411725151,0.8366109996131854,32.20324000085384,112.0,5.576151296128054,0.0,3,4,4,4,5,6,8,9,24,32,32
PUT,/petclinic/api/visits/2,1617,0,2,2.4096940296844043,0.7658049999008654,12.252393999915512,73.0,5.395952510974903,0.0,2,3,3,3,4,6,7,8,12,12,12
,Aggregated,21227,0,3,6.520831008619816,0.7543040001110057,129.00644299952546,85.8179676826683,70.83480763788761,0.0,3,4,6,9,18,26,36,41,50,60,130
