Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1325,1072,2,454.5835903592346,0.9614690006856108,5008.809906999886,23.29509433962264,4.421772343645303,3.5774641150096342,2,3,3,4,2700,4700,5000,5000,5000,5000,5000
POST,/petclinic/api/owners/1/pets,2676,1299,20,897.7714248987267,1.3910180005041184,29904.58599199883,60.97757847533632,8.930311540826288,4.335005490109622,20,30,41,51,5000,5000,10000,18000,28000,30000,30000
POST,/petclinic/api/owners/1/pets/1/visits,1430,69,25,374.95987563147827,4.191041000012774,5003.8936250002735,66.8083916083916,4.772176944462478,0.2302658805370007,25,39,51,62,200,4500,5000,5000,5000,5000,5000
PUT,/petclinic/api/owners/2,1305,54,2,465.707416328725,0.9424870004295371,5029.929286998595,129.41379310344828,4.355028610156317,0.18020808042026143,2,2,2,3,27,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/pets/2,1352,87,2,605.558947408271,0.8412499992118683,10014.249602998461,113.21375739644971,4.511876383855434,0.2903352406770878,2,2,2,3,31,5000,8000,10000,10000,10000,10000
POST,/petclinic/api/pettypes,1386,76,2,390.5931566024747,1.0129620004590834,5003.450583000813,33.24025974025974,4.62534073078671,0.2536261872581457,2,2,3,3,17,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/pettypes/2,1380,62,2,389.8872667760865,0.7688030000281287,5023.709312001301,30.56231884057971,4.605317610740014,0.2069055738158557,2,2,2,2,5,5000,5000,5000,5000,5000,5000
POST,/petclinic/api/specialties,1328,88,2,457.61009837271797,0.9522729997115675,5004.3547459990805,40.25753012048193,4.431783903668651,0.29367242735153715,2,2,3,3,2300,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/specialties/2,1327,81,2,483.5243331627739,0.8299119999719551,5028.241701000297,27.229841748304445,4.428446716994202,0.2703121206303921,2,2,2,2,2400,5000,5000,5000,5000,5000,5000
POST,/petclinic/api/vets,1268,59,2,333.9496186734808,0.9878199998638593,5004.524575999312,101.16246056782335,4.231552703201694,0.19689401379250784,2,2,3,3,13,4100,5000,5000,5000,5000,5000
PUT,/petclinic/api/vets/2,1265,46,2,348.54213265850126,0.9505479993094923,5026.233895001496,107.92727272727272,4.221541143178346,0.15351058702466713,2,2,2,3,5,5000,5000,5000,5000,5000,5000
PUT,/petclinic/api/visits/2,1425,56,2,348.6972749213818,0.8203779998439131,5008.460141001706,70.13122807017544,4.755491011090232,0.18688245376916,2,2,2,3,7,4900,5000,5000,5000,5000,5000
,Aggregated,17467,3049,2,495.64396648622636,0.7688030000281287,29904.58599199883,66.07373905078147,58.29063964260567,10.175082170395871,2,3,9,19,140,5000,5000,5000,20000,30000,30000
