Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1733366414,31,,Aggregated,26.000000,0.000000,7,10,12,13,16,20,24,26,220,220,220,579,0,7,9.584012535321369,2.9660709988093004,222.1940529998392,46.70811744386874
1733366415,32,,Aggregated,27.800000,0.000000,7,10,11,12,16,20,24,26,220,220,220,606,0,7,9.473694780429021,2.9660709988093004,222.1940529998392,46.85973597359736
1733366416,33,,Aggregated,28.400000,0.000000,7,10,11,12,16,19,24,26,220,220,220,650,0,7,9.179852816825868,2.9660709988093004,222.1940529998392,47.2
1733366417,34,,Aggregated,30.200000,0.000000,7,9,11,12,15,19,24,26,220,220,220,693,0,7,8.991422330355288,2.919528000347782,222.1940529998392,46.924963924963926
1733366418,35,,Aggregated,30.400000,0.000000,7,9,11,12,15,19,23,25,220,220,220,739,0,7,8.886030365268152,2.919528000347782,222.1940529998392,47.29769959404601
1733366419,36,,Aggregated,32.500000,0.000000,7,9,11,12,15,19,24,26,220,220,220,779,0,7,8.917970496680171,2.919528000347782,222.1940529998392,46.725288831835684
1733366420,37,,Aggregated,33.000000,0.000000,7,9,11,12,15,19,24,26,220,220,220,815,0,7,8.836070490691045,2.7789229970949236,222.1940529998392,46.354601226993864
1733366421,38,,Aggregated,35.600000,0.000000,7,9,11,12,15,19,23,26,220,220,220,857,0,7,8.702172711684309,2.772234998701606,222.1940529998392,46.417736289381565
1733366422,39,,Aggregated,37.100000,0.000000,7,9,11,12,15,18,23,25,220,220,220,906,0,7,8.57555746127923,2.772234998701606,222.1940529998392,46.77704194260485
1733366423,40,,Aggregated,37.200000,0.000000,7,9,11,12,15,18,23,25,220,220,220,938,0,7,8.567464050002778,2.772234998701606,222.1940529998392,46.801705756929636
1733366424,41,,Aggregated,39.500000,0.000000,7,9,11,11,15,18,22,25,220,220,220,983,0,7,8.427181156569894,2.711151999392314,222.1940529998392,46.80569684638861
1733366425,42,,Aggregated,39.600000,0.000000,7,9,10,11,14,18,22,25,120,220,220,1023,0,7,8.276223491601698,2.4869599983503576,222.1940529998392,46.89247311827957
1733366426,43,,Aggregated,40.700000,0.000000,6,9,10,11,14,17,22,25,120,220,220,1070,0,6,8.122237222350098,2.431046999845421,222.1940529998392,46.34018691588785
1733366427,44,,Aggregated,39.700000,0.000000,6,8,10,11,14,17,21,25,120,220,220,1111,0,6,8.026370803700367,2.431046999845421,222.1940529998392,46.03150315031503
1733366428,45,,Aggregated,41.600000,0.000000,6,8,10,11,14,17,21,25,120,220,220,1169,0,6,7.945366649196163,2.431046999845421,222.1940529998392,45.89820359281437
1733366429,46,,Aggregated,42.000000,0.000000,6,8,10,11,14,17,21,24,120,220,220,1225,0,6,7.921836964830005,2.431046999845421,222.1940529998392,45.66040816326531
1733366430,47,,Aggregated,41.800000,0.000000,6,8,10,11,13,16,21,24,120,220,220,1269,0,6,7.8553317430380725,2.431046999845421,222.1940529998392,45.542947202521674
1733366431,48,,Aggregated,43.000000,0.000000,6,8,10,11,13,16,21,24,120,220,220,1318,0,6,7.755011604643825,2.375379001023248,222.1940529998392,45.443854324734446
1733366432,49,,Aggregated,45.100000,0.000000,6,8,9,10,13,16,21,24,120,220,220,1373,0,6,7.695388136874406,2.375379001023248,222.1940529998392,45.81646030589949
1733366433,50,,Aggregated,45.600000,0.000000,6,8,9,10,13,16,21,24,120,220,220,1439,0,6,7.608403857492937,2.375379001023248,222.1940529998392,45.76719944405838
1733366434,51,,Aggregated,46.500000,0.000000,6,8,9,10,13,16,21,24,120,220,220,1504,0,6,7.533262583053252,2.375379001023248,222.1940529998392,46.023936170212764
1733366435,52,,Aggregated,47.000000,0.000000,6,8,9,10,13,16,20,24,120,220,220,1559,0,6,7.469122656130904,2.3065459972713143,222.1940529998392,46.07504810776138
1733366436,53,,Aggregated,49.600000,0.000000,6,8,9,10,13,15,20,24,120,220,220,1619,0,6,7.442202012296782,2.3065459972713143,222.1940529998392,46.23533045089562
1733366437,54,,Aggregated,52.700000,0.000000,6,8,9,10,13,15,20,24,120,220,220,1679,0,6,7.350186967185495,2.3065459972713143,222.1940529998392,46.31923764145325
1733366438,55,,Aggregated,52.900000,0.000000,6,8,9,10,12,15,20,23,120,220,220,1731,0,6,7.309140594386646,2.3065459972713143,222.1940529998392,46.111496244945116
1733366439,56,,Aggregated,55.700000,0.000000,6,8,9,10,12,15,19,23,120,220,220,1789,0,6,7.243196301778255,2.1950740010652225,222.1940529998392,46.17831190609279
1733366440,57,,Aggregated,56.700000,0.000000,6,8,9,10,12,15,20,24,120,220,220,1851,0,6,7.196232847054725,2.0052369982295204,222.1940529998392,46.02593192868719
1733366441,58,,Aggregated,56.800000,0.000000,6,8,9,10,12,15,19,24,120,220,220,1917,0,6,7.084167232084515,2.0052369982295204,222.1940529998392,45.98748043818466
1733366442,59,,Aggregated,56.600000,0.000000,6,8,9,10,12,15,19,24,120,220,220,1975,0,6,7.075382904258271,2.0052369982295204,222.1940529998392,46.165569620253166
1733366443,60,,Aggregated,58.000000,0.000000,5,7,9,10,12,15,19,23,70,220,220,2048,0,5,6.950255958940943,2.0052369982295204,222.1940529998392,46.03564453125
1733366444,61,,Aggregated,59.300000,0.000000,5,7,9,9,12,15,19,23,70,220,220,2100,0,5,6.872901852338622,2.0052369982295204,222.1940529998392,46.07142857142857
1733366445,62,,Aggregated,60.400000,0.000000,5,7,9,9,12,15,19,23,70,220,220,2178,0,5,6.783981228613581,2.0052369982295204,222.1940529998392,46.17309458218549
1733366446,63,,Aggregated,60.400000,0.000000,5,7,8,9,12,15,19,22,70,220,220,2254,0,5,6.7412840114981085,2.0052369982295204,222.1940529998392,46.245785270629995
1733366447,64,,Aggregated,60.300000,0.000000,5,7,9,9,12,14,19,22,70,220,220,2325,0,5,6.747440415448935,2.0052369982295204,222.1940529998392,46.17720430107527
1733366448,65,,Aggregated,62.600000,0.000000,5,7,9,9,12,14,18,22,70,220,220,2398,0,5,6.73790221973636,2.0052369982295204,222.1940529998392,45.98582151793161
1733366449,66,,Aggregated,62.600000,0.000000,5,7,8,9,12,14,18,22,70,220,220,2476,0,5,6.698000543996525,2.0052369982295204,222.1940529998392,45.96647819063005
1733366450,67,,Aggregated,65.000000,0.000000,5,7,8,9,12,14,18,21,70,220,220,2541,0,5,6.669686669400914,2.0052369982295204,222.1940529998392,46.14876033057851
1733366451,68,,Aggregated,66.300000,0.000000,5,7,8,9,12,14,18,21,70,220,220,2618,0,5,6.647046569120796,2.0052369982295204,222.1940529998392,46.111535523300226
1733366452,69,,Aggregated,68.600000,0.000000,5,7,8,9,11,14,18,21,70,220,220,2712,0,5,6.600719120194988,2.0052369982295204,222.1940529998392,46.267330383480825
1733366453,70,,Aggregated,68.500000,0.000000,5,7,8,9,11,14,18,21,70,220,220,2787,0,5,6.558040091841058,1.9497200009936932,222.1940529998392,46.42949407965554
1733366454,71,,Aggregated,71.000000,0.000000,5,7,8,9,11,14,17,21,70,220,220,2858,0,5,6.514031985641327,1.9497200009936932,222.1940529998392,46.44296710986704
1733366455,72,,Aggregated,73.300000,0.000000,5,7,8,9,11,14,17,21,70,220,220,2947,0,5,6.4770551435233035,1.9497200009936932,222.1940529998392,46.40278249066848
1733366456,73,,Aggregated,74.400000,0.000000,5,7,8,9,11,14,17,21,30,220,220,3020,0,5,6.485527409261564,1.9497200009936932,222.1940529998392,46.38476821192053
1733366457,74,,Aggregated,74.900000,0.000000,5,7,8,9,11,13,17,21,30,220,220,3114,0,5,6.480321493570513,1.9497200009936932,222.1940529998392,46.51958895311496
1733366458,75,,Aggregated,76.500000,0.000000,5,7,8,9,11,13,17,21,30,220,220,3191,0,5,6.458645139762675,1.9497200009936932,222.1940529998392,46.678157317455344
1733366459,75,,Aggregated,76.500000,0.000000,5,7,8,9,11,13,17,21,30,220,220,3286,0,5,6.422087025561411,1.9497200009936932,222.1940529998392,46.76141205112599
1733366460,75,,Aggregated,78.800000,0.000000,5,7,8,9,11,13,17,21,30,220,220,3345,0,5,6.414442833188529,1.9497200009936932,222.1940529998392,46.846337817638265
1733366461,75,,Aggregated,78.900000,0.000000,5,7,8,9,11,13,16,20,30,220,220,3439,0,5,6.342391635943351,1.8797539996739943,222.1940529998392,46.88107007851119
1733366462,75,,Aggregated,80.200000,0.000000,5,7,8,9,11,13,16,20,30,220,220,3515,0,5,6.308190617642043,1.8797539996739943,222.1940529998392,46.94566145092461
