Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,285,0,7,6.621802582457461,2.249716000051194,38.01846999999725,120.0,0.9511730253478544,0.0,7,7,8,8,10,11,12,15,38,38,38
POST,/petclinic/api/owners/1/pets,538,0,7,6.259901304832379,2.102424999975483,21.65558600006534,118.52973977695167,1.7955476759198095,0.0,7,7,8,8,9,10,13,15,22,22,22
POST,/petclinic/api/owners/1/pets/1/visits,246,0,7,6.837326894305175,2.2392429999626984,25.36247800003366,69.59349593495935,0.821012506089727,0.0,7,8,8,8,9,10,13,14,25,25,25
PUT,/petclinic/api/owners/2,285,0,8,8.489496915792603,3.0506820000937296,55.74015199999849,0.0,0.9511730253478544,0.0,8,10,11,11,14,18,21,22,56,56,56
PUT,/petclinic/api/pets/2,253,0,7,6.93130992490449,2.3179770000751887,55.555070999957934,0.0,0.844374650571955,0.0,7,8,8,9,11,12,19,20,56,56,56
POST,/petclinic/api/pettypes,212,0,7,6.993342113206244,2.162078999958794,194.91159400001834,34.54716981132076,0.7075392328903338,0.0,7,7,8,8,9,11,13,14,190,190,190
PUT,/petclinic/api/pettypes/2,212,0,6,5.761748570752204,1.8755439998585643,45.12007100004212,0.0,0.7075392328903338,0.0,6,7,7,7,8,10,14,15,45,45,45
POST,/petclinic/api/specialties,234,0,7,6.376519320505954,2.1947269999600394,18.41252600002008,42.56410256410256,0.7809631155487647,0.0,7,7,8,8,9,11,12,13,18,18,18
PUT,/petclinic/api/specialties/2,234,0,7,6.4448591025667215,2.036420999957045,18.826631000024463,0.0,0.7809631155487647,0.0,7,7,8,8,10,12,14,17,19,19,19
POST,/petclinic/api/vets,260,0,8,8.422781903843857,3.1480099999043887,40.52810399991813,105.63076923076923,0.867736795054183,0.0,8,9,10,11,12,14,17,20,41,41,41
PUT,/petclinic/api/vets/2,260,0,5,6.144032484619927,2.6748049999696377,22.82242799992673,0.0,0.867736795054183,0.0,5,6,8,9,11,14,18,20,23,23,23
PUT,/petclinic/api/visits/2,246,0,8,7.655760146345932,2.3904829999992216,26.792348000071797,0.0,0.821012506089727,0.0,8,9,9,10,12,15,21,24,27,27,27
,Aggregated,3265,0,7,6.886714119142669,1.8755439998585643,194.91159400001834,48.954670750382846,10.89677167635349,0.0,7,8,8,9,10,13,16,19,45,190,190
