Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1556,0,3,3.2415175565488905,0.897193000128027,13.134061000528163,121.30719794344473,5.192421021916666,0.0,3,4,4,4,5,6,8,9,12,13,13
POST,/petclinic/api/owners/1/pets,3180,0,17,19.778731219506103,2.6324569998905645,134.5204190001823,118.15188679245283,10.611760186179305,0.0,17,22,26,29,37,42,48,50,62,130,130
POST,/petclinic/api/owners/1/pets/1/visits,1680,0,14,16.67173472857528,2.4961319995782105,53.752144999634766,70.34821428571429,5.606212928547557,0.0,14,18,21,24,33,38,42,45,52,54,54
PUT,/petclinic/api/owners/2,1555,0,2,2.3666702630305974,0.8159260005413671,11.745153999981994,135.0,5.189083990411579,0.0,2,2,3,3,4,5,7,8,12,12,12
PUT,/petclinic/api/pets/2,1625,0,2,2.2100036898404003,0.7963159996506874,11.32730100016488,121.0,5.4226761957677265,0.0,2,2,3,3,4,5,7,7,10,11,11
POST,/petclinic/api/pettypes,1622,0,3,3.0983590456224253,0.866700999722525,22.892629000125453,35.32860665844636,5.412665101252463,0.0,3,4,4,4,5,6,8,9,21,23,23
PUT,/petclinic/api/pettypes/2,1622,0,2,2.604239309509369,0.7355180005106376,12.737265999930969,32.0,5.412665101252463,0.0,2,3,3,4,5,5,7,8,10,13,13
POST,/petclinic/api/specialties,1666,0,3,3.2134237646982937,0.8647730001030141,13.238942000498355,43.34093637454982,5.559494487476328,0.0,3,4,4,4,6,6,8,9,13,13,13
PUT,/petclinic/api/specialties/2,1666,0,3,2.7686839495798994,0.7895529997767881,12.345248999736214,30.0,5.559494487476328,0.0,3,3,4,4,5,6,7,8,11,12,12
POST,/petclinic/api/vets,1714,0,3,3.195740784144167,0.8659700006319326,20.547457999782637,106.36464410735122,5.719671999720544,0.0,3,4,4,4,5,7,8,9,13,21,21
PUT,/petclinic/api/vets/2,1714,0,3,3.008287106781168,0.8924829999159556,17.708057999698212,112.0,5.719671999720544,0.0,3,4,4,4,5,6,8,10,17,18,18
PUT,/petclinic/api/visits/2,1680,0,2,2.4056196523804916,0.7757210005365778,14.880591000292043,73.0,5.606212928547557,0.0,2,3,3,3,4,6,7,8,12,15,15
,Aggregated,21280,0,3,6.443188909778412,0.7355180005106376,134.5204190001823,85.40986842105264,71.01203042826906,0.0,3,4,6,8,18,26,37,42,53,63,130
