Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,243,0,5,5.244219111107204,1.5555560000848345,140.81480499999088,120.63374485596708,0.8109375174806448,0.0,5,5,6,6,7,8,9,9,140,140,140
POST,/petclinic/api/owners/1/pets,504,0,9,9.203565573416416,2.559923000035269,23.908669999855192,117.31150793650794,1.6819444807005968,0.0,9,10,11,12,14,17,18,19,24,24,24
POST,/petclinic/api/owners/1/pets/1/visits,276,0,9,8.337528358699762,2.550487999997131,17.487593000169,69.6376811594203,0.9210648346693744,0.0,9,9,10,10,12,13,16,17,17,17,17
PUT,/petclinic/api/owners/2,243,0,3,3.449475934148947,1.3463190000493341,14.591328000051362,135.0,0.8109375174806448,0.0,3,4,5,5,6,7,9,10,15,15,15
PUT,/petclinic/api/pets/2,261,0,3,3.138807605380346,1.2167770000814926,8.852144999991651,121.0,0.8710069632199519,0.0,3,4,4,5,6,7,7,8,9,9,9
POST,/petclinic/api/pettypes,237,0,5,4.6745436329153645,1.518680999879507,13.105254000038258,34.59493670886076,0.7909143689008759,0.0,5,5,5,6,7,8,9,10,13,13,13
PUT,/petclinic/api/pettypes/2,237,0,4,3.8862884177293373,1.1589470000217261,9.501748000047883,32.0,0.7909143689008759,0.0,4,4,5,5,6,7,8,9,10,10,10
POST,/petclinic/api/specialties,241,0,5,4.603793157676286,1.4638610000474728,12.54286499988666,42.57676348547718,0.8042631346207219,0.0,5,5,5,6,7,8,9,12,13,13,13
PUT,/petclinic/api/specialties/2,241,0,4,3.7981197842357863,1.140140999950745,10.741127999835953,30.0,0.8042631346207219,0.0,4,4,5,5,6,7,8,8,11,11,11
POST,/petclinic/api/vets,231,0,5,4.889300168838123,1.6414330000316113,29.613273999984813,105.58441558441558,0.7708912203211068,0.0,5,5,6,6,7,8,10,11,30,30,30
PUT,/petclinic/api/vets/2,231,0,5,4.406120696963524,1.29120800011151,15.71585600004255,112.0,0.7708912203211068,0.0,5,5,5,6,7,9,10,10,16,16,16
PUT,/petclinic/api/visits/2,276,0,3,3.2077290615962486,1.1335589999816875,11.31751399998393,73.0,0.9210648346693744,0.0,3,4,4,4,5,7,8,9,11,11,11
,Aggregated,3221,0,5,5.264795160822372,1.1335589999816875,140.81480499999088,85.60353927351754,10.749093595905997,0.0,5,5,6,8,10,12,14,16,22,140,140
