Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,2169,0,5,5.1206266353080965,1.2864849995821714,25.515910998365143,120.0,7.237025134046858,0.0,5,6,6,7,8,10,12,13,21,26,26
POST,/petclinic/api/owners/1/pets,4247,0,5,5.158252432064177,1.277428000321379,38.95788899899344,118.51071344478456,14.170422196540805,0.0,5,6,7,7,8,10,12,13,19,39,39
POST,/petclinic/api/owners/1/pets/1/visits,2002,0,5,5.441456886629666,1.470245002565207,17.399347001628485,70.45304695304695,6.679817574164043,0.0,5,6,7,7,9,10,13,14,17,17,17
PUT,/petclinic/api/owners/2,2169,0,6,6.361568406683995,1.8741690000751987,29.036246000032406,0.0,7.237025134046858,0.0,6,7,8,9,10,12,14,17,20,29,29
PUT,/petclinic/api/pets/2,2078,0,5,5.5452749138820865,1.4663330002804287,31.19171000071219,0.0,6.933397062493947,0.0,5,6,7,8,9,11,13,15,24,31,31
POST,/petclinic/api/pettypes,2092,0,5,4.945871418236097,1.1922350022359751,37.56950300157769,35.47944550669216,6.980109073502087,0.0,5,5,6,7,8,10,12,14,29,38,38
PUT,/petclinic/api/pettypes/2,2092,0,4,4.54112169312616,1.1214699989068322,26.79504600018845,0.0,6.980109073502087,0.0,4,5,6,6,8,9,11,13,15,27,27
POST,/petclinic/api/specialties,2053,0,5,4.975435188493649,1.349300000583753,27.275366002868395,43.46517291768144,6.849982757122268,0.0,5,5,6,7,8,10,12,13,16,27,27
PUT,/petclinic/api/specialties/2,2053,0,5,4.983293235358634,1.2830919986299705,31.049321998580126,0.0,6.849982757122268,0.0,5,5,6,7,8,10,12,14,18,31,31
POST,/petclinic/api/vets,2108,0,6,6.452577968248183,1.7246759998670314,288.1444869999541,106.48339658444023,7.033494228939961,0.0,6,7,8,8,10,11,14,16,27,290,290
PUT,/petclinic/api/vets/2,2108,0,6,5.886244671722451,1.7457920002925675,30.719660000613658,0.0,7.033494228939961,0.0,6,7,7,8,9,11,13,14,21,31,31
PUT,/petclinic/api/visits/2,2002,0,6,5.8615569755770425,1.4359849992615636,30.803284000285203,0.0,6.679817574164043,0.0,6,7,7,8,10,11,13,16,28,31,31
,Aggregated,27173,0,5,5.419570578016373,1.1214699989068322,288.1444869999541,47.56802708571008,90.66467679458519,0.0,5,6,7,7,9,11,13,14,23,38,290
